Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Apartamento;Copacabana;1;0;1;40;2000.0;561.0;50.0
Apartamento;Tijuca;2;1;0;110;1900.0;700.0;138.0
Apartamento;Tijuca;2;1;0;78;2000.0;700.0;
Apartamento;Tijuca;1;0;0;48;750.0;772.0;25.0
Apartamento;Botafogo;2;1;0;76;2500.0;740.0;
Apartamento;Copacabana;3;1;2;378;10000.0;2150.0;700.0
Apartamento;Copacabana;3;0;0;180;5500.0;1780.0;420.0
Apartamento;Leblon;3;1;0;110;3900.0;1500.0;120.0
Apartamento;Copacabana;4;1;0;244;5000.0;2500.0;4100.0
Apartamento;Botafogo;3;1;1;108;5950.0;1405.0;289.0
Apartamento;Leblon;2;1;1;80;3500.0;990.0;245.0
Apartamento;Tijuca;2;1;0;80;1800.0;1100.0;84.0
Apartamento;Tijuca;3;1;0;172;2700.0;780.0;170.0
Apartamento;Botafogo;2;1;1;83;2800.0;560.0;138.0
Apartamento;Botafogo;2;1;1;80;4300.0;1178.0;187.0
Apartamento;Leblon;3;2;1;147;7500.0;1028.0;247.0
Apartamento;Copacabana;2;1;0;67;3500.0;950.0;160.0
Apartamento;Leblon;3;1;0;85;3900.0;800.0;1211.0
Apartamento;Copacabana;3;0;0;150;5500.0;1780.0;420.0
Apartamento;Copacabana;3;1;1;200;6200.0;1800.0;420.0
Apartamento;Botafogo;3;1;1;100;5500.0;1300.0;220.0
Apartamento;Botafogo;4;1;1;190;5500.0;1720.0;350.0
Apartamento;Tijuca;3;0;0;87;1600.0;650.0;100.0
Apartamento;Botafogo;1;0;0;35;1500.0;470.0;50.0
Apartamento;Copacabana;3;0;0;100;3300.0;850.0;90.0
Apartamento;Leblon;2;1;1;115;7500.0;980.0;270.0
Apartamento;Botafogo;2;1;1;70;3700.0;1133.0;147.0
Apartamento;Copacabana;3;2;1;250;7000.0;1500.0;434.0
Apartamento;Copacabana;3;1;0;140;3700.0;1347.0;
Apartamento;Copacabana;2;0;0;50;2500.0;750.0;760.0
Apartamento;Tijuca;3;1;1;78;2500.0;730.0;178.0
Apartamento;Tijuca;1;0;0;65;1200.0;320.0;
Apartamento;Tijuca;3;0;0;75;1800.0;350.0;
Apartamento;Tijuca;2;1;1;71;1500.0;600.0;
Apartamento;Leblon;3;1;0;87;3800.0;970.0;273.0
Apartamento;Leblon;2;1;0;70;4200.0;1100.0;200.0
Apartamento;Tijuca;2;0;0;50;1800.0;347.0;25.0
Apartamento;Tijuca;2;0;0;63;1400.0;440.0;61.0
Apartamento;Copacabana;3;1;0;112;3800.0;1123.0;286.0
Apartamento;Leblon;3;0;1;85;8500.0;;1719.0
Apartamento;Tijuca;3;1;0;129;1800.0;850.0;116.0
Apartamento;Copacabana;2;0;0;54;1800.0;590.0;
Apartamento;Copacabana;5;1;3;390;10000.0;1000.0;1000.0
Apartamento;Botafogo;1;0;0;35;1000.0;293.0;86.0
Apartamento;Tijuca;3;1;0;164;3500.0;1310.0;257.0
Apartamento;Botafogo;2;1;1;79;4315.0;1110.0;187.0
Apartamento;Tijuca;1;0;0;36;1300.0;295.0;24.0
Apartamento;Leblon;2;1;1;87;4800.0;1300.0;361.0
Apartamento;Botafogo;3;1;1;102;5100.0;1300.0;
Apartamento;Copacabana;4;2;1;279;3150.0;2025.0;370.0
Apartamento;Tijuca;2;1;1;70;1500.0;890.0;68.0
Apartamento;Copacabana;2;1;1;81;2900.0;893.0;190.0
